Date & Time,Time,Permeate properties,,,,,Total Rej,Backwash water,Backwash (5 Nos),Reject water,,Reject water,Reject from membarne,,,Tank ,Feed to membrane,,,Feed Inlet to recycle tank,,RO/BW
,Min,Mass(g),Time(s),Cond(ppm),Total Flow (L),Flow rate (LPH),lit, TDS (ppm),Volume (ml),Volume (ml),Recovery,TDS (ppm/ppt),TDS(ppm),Flow rate ml/min,Flow rate (LPH),TDS (ppm),TDS (ppm),Flow (LPH),Pressure (psig),Flow (LPH),TDS (ppm),Operation
03.04.2017 02:39 PM,0,143.06,30.28,12,0,16.96,0.00,,0,0,#DIV/0!,,292,1035,62.1,264,264,79.06,75,16.96,119,RO
03.04.2017 02:49 PM,10,137.31,30.59,11,2.5,16.11,0.00,,0,0,100,,471,1116,66.96,375,375,83.07,75,16.11,86,RO
03.04.2017 02:59 PM,20,145.22,31.65,13,5,16.47,0.00,,0,0,100,,524,1115,66.9,480,480,83.37,75,16.47,77,RO
03.04.2017 03:02 PM,20,144.52,31.64,14,5,16.39,0.00,,0,0,100,,560,1139,68.34,511,511,84.73,75,16.39,75,RO
03.04.2017 03:12 PM,30,154.73,32.44,16,7.5,17.12,0.00,,0,0,100,,671,1667,100.02,650,650,117.14,75,17.12,76,RO
03.04.2017 03:22 PM,40,147.13,30.35,21,10,17.40,0.00,,0,0,100,,749,1554,93.24,229,229,110.64,75,17.40,89,RO
03.04.2017 03:39 PM,40,128.857,28.78,29,10,16.07,0.00,,0,0,100,,702,1637,98.22,638,638,114.29,75,16.07,88,RO
03.04.2017 03:49 PM,50,136.04,30.63,20,12.5,15.94,0.00,,0,0,100,,772,1731,103.86,713,713,119.80,75,15.94,87,RO
03.04.2017 03:59 PM,60,134.06,30.28,26,15,15.89,0.00,,0,0,100,,841,1731,103.86,779,779,119.75,75,15.89,86,RO
03.04.2017 05:19 PM,60,137,30.38,56,15,16.19,0.00,,0,0,100,,818,1654,99.24,783,783,115.43,75,16.19,83,RO
03.04.2017 05:29 PM,70,132,31.1,30,17.5,15.23,0.00,,0,0,100,,848,1674,100.44,808,808,115.67,75,15.23,86,RO
03.04.2017 05:39 PM,80,139.8,30.5,22,20,16.45,0.40,,0,400,98.03921569,790,720,1678,100.68,687,687,117.13,75,16.45,84,RO
04.04.2017 10:08 AM,80,133.57,30.16,26,20,15.90,0.40,,0,400,98.03921569,,733,1004,60.24,658,658,76.14,75,15.90,89,RO
04.04.2017 10:18 AM,90,123.53,30.6,21,22.5,14.49,0.40,,0,400,98.25327511,,804,1039,62.34,697,697,76.83,75,14.49,75,RO
04.04.2017 10:28 AM,100,123.34,31.63,24,25,14.00,0.40,,0,400,98.42519685,,843,1008,60.48,749,749,74.48,75,14.00,74,RO
04.04.2017 10:43 AM,100,121.71,30.9,76,25,14.14,0.40,,0,400,98.42519685,,841,1024,61.44,744,744,75.58,75,14.14,78,RO
04.04.2017 10:53 AM,110,121.79,30.37,23,27.5,14.39,0.40,,0,400,98.56630824,,877,1128,67.68,786,786,82.07,75,14.39,83,RO
04.04.2017 11:03 AM,120,119.96,30.03,21,30,14.34,0.40,,0,400,98.68421053,,919,1130,67.8,826,826,82.14,75,14.34,82,RO
