Date & Time,Time,Permeate properties,,,,,Total Rej,Backwash water,Backwash (5 Nos),Reject water,,Reject water,Reject from membarne,,Tank ,Feed to membrane,,,Feed Inlet to recycle tank,,RO/BW
,Min,Mass(g),Time(s),Cond(ppm),Total Flow (L),Flow rate (LPH),lit, TDS (ppm),Volume (ml),Volume (ml),Recovery,TDS (ppm/ppt),TDS(ppm),Flow rate (LPH),TDS (ppm),TDS (ppm),Flow (LPH),Pressure (psig),Flow (LPH),TDS (ppm),Operation
21.02.2017 03:00 PM,0,164,40.47,32,0,14.54,0.00,,0,0,,,578,30,384,384,44.54,75,14.54,90,RO
21.02.2017 03:10 PM,10,148,40.41,29,3,13.15,0.00,,0,0,100,,600,30,488,488,43.15,75,13.15,87,RO
21.02.2017 03:20 PM,20,138,40.44,27,5,12.25,0.00,,0,0,100,,584,30,564,564,42.25,75,12.25,87,RO
21.02.2017 03:34 PM,20,148,40.34,24,5,13.17,0.50,417,500,0,90.90909091,,668,30,466,466,43.17,75,13.17,87,RO
21.02.2017 03:44 PM,30,179,50.31,22,8,12.77,0.50,,500,0,94.11764706,,718,30,632,632,42.77,75,12.77,85,RO
21.02.2017 03:54 PM,40,155,44.37,25,10,12.54,0.50,,500,0,95.23809524,,782,30,678,678,42.54,75,12.54,85,RO
21.02.2017 04:28 PM,40,203,50.4,28,10,14.46,1.00,413,1000,0,90.90909091,,699,25,462,462,39.46,75,14.46,95,RO
21.02.2017 04:38 PM,50,159,45.63,26,13,12.51,1.00,,1000,0,92.85714286,,734,25,562,562,37.51,75,12.51,90,RO
21.02.2017 04:48 PM,60,152,45.47,23,15,12.00,1.00,,1000,0,93.75,,852,25,662,662,37.00,75,12.00,87,RO
21.02.2017 05:03 PM,60,163,45.44,26,15,12.87,1.50,441,1500,0,90.90909091,,733,25,615,615,37.87,75,12.87,88,RO
21.02.2017 05:13 PM,70,152,45.43,22,17,12.01,1.50,,1500,0,91.89189189,,852,25,647,647,37.01,75,12.01,86,RO
21.02.2017 05:23 PM,80,133,40.43,25,19,11.81,1.50,,1500,0,92.68292683,,940,25,728,728,36.81,75,11.81,86,RO
21.02.2017 05:28 PM,85,130,40.18,26,20,11.61,1.50,,1500,0,93.02325581,,975,25,767,767,36.61,75,11.61,87,RO
